Name,URL,Stargazers,Created At,Age,Pull Requests,Language,Updated At,Days Since Update,Releases,Closed Issues,Total Issues,Issues Ratio
freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,371740,2014-12-24 17:49:19,3171,20443,TypeScript,2023-08-30 18:15:48,0,0,16826,17028,0.9881371858116044
EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,296783,2013-10-11 06:50:37,3610,5678,none,2023-08-30 18:02:51,0,0,924,958,0.964509394572025
996icu/996.ICU,https://github.com/996icu/996.ICU,267842,2019-03-26 07:31:14,1618,1063,none,2023-08-30 18:06:56,0,0,0,0,0
sindresorhus/awesome,https://github.com/sindresorhus/awesome,267321,2014-07-11 13:42:37,3337,624,none,2023-08-30 18:06:09,0,0,306,331,0.9244712990936556
jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,264118,2016-06-06 02:34:12,2641,371,none,2023-08-30 17:53:34,0,0,358,402,0.8905472636815921
public-apis/public-apis,https://github.com/public-apis/public-apis,253746,2016-03-20 23:49:42,2718,1871,Python,2023-08-30 18:22:20,0,0,502,505,0.994059405940594
kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,249527,2017-03-15 13:45:52,2359,1627,TypeScript,2023-08-30 18:08:51,0,1,879,1378,0.6378809869375908
donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,228017,2017-02-26 16:15:28,2376,196,Python,2023-08-30 18:17:05,0,0,75,259,0.28957528957528955
codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,214560,2018-05-09 12:03:18,1939,121,none,2023-08-30 18:12:04,0,0,395,560,0.7053571428571429
facebook/react,https://github.com/facebook/react,212380,2013-05-24 16:15:54,3750,9203,JavaScript,2023-08-30 16:20:20,0,99,11338,12421,0.9128089525803076
vuejs/vue,https://github.com/vuejs/vue,205064,2013-07-29 03:24:51,3684,1119,TypeScript,2023-08-30 17:26:54,0,245,9611,9990,0.962062062062062
vinta/awesome-python,https://github.com/vinta/awesome-python,178932,2014-06-27 21:00:06,3350,535,Python,2023-08-30 18:14:41,0,0,0,0,0
tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,177254,2015-11-07 01:19:20,2853,16183,C++,2023-08-30 17:46:28,0,194,35918,37838,0.9492573603255986
trekhleb/javascript-algorithms,https://github.com/trekhleb/javascript-algorithms,174641,2018-03-24 07:47:04,1985,282,JavaScript,2023-08-30 17:31:24,0,0,210,327,0.6422018348623854
getify/You-Dont-Know-JS,https://github.com/getify/You-Dont-Know-JS,170863,2013-11-16 02:37:24,3574,360,none,2023-08-30 17:35:03,0,0,833,913,0.9123767798466593
TheAlgorithms/Python,https://github.com/TheAlgorithms/Python,167039,2016-07-16 09:44:01,2601,2331,Python,2023-08-30 18:12:11,0,0,1268,1293,0.9806651198762568
CyC2018/CS-Notes,https://github.com/CyC2018/CS-Notes,166448,2018-02-13 14:56:24,2024,375,none,2023-08-30 17:46:22,0,0,441,566,0.7791519434628975
twbs/bootstrap,https://github.com/twbs/bootstrap,165102,2011-07-29 21:19:00,4414,8484,JavaScript,2023-08-30 18:19:58,0,87,21764,22101,0.9847518211845618
ohmyzsh/ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,161886,2009-08-28 18:15:37,5115,2926,Shell,2023-08-30 18:15:49,0,0,4317,4528,0.9534010600706714
torvalds/linux,https://github.com/torvalds/linux,156619,2011-09-04 22:48:12,4377,9,C,2023-08-30 17:08:51,0,0,0,0,0
flutter/flutter,https://github.com/flutter/flutter,156321,2015-03-06 22:54:58,3098,32889,Dart,2023-08-30 18:23:29,-1,2,74637,86119,0.8666728596476968
github/gitignore,https://github.com/github/gitignore,150927,2010-11-08 20:17:14,4677,1523,none,2023-08-30 17:51:25,0,0,0,0,0
microsoft/vscode,https://github.com/microsoft/vscode,150393,2015-09-03 20:23:38,2917,19335,TypeScript,2023-08-30 18:18:27,0,109,154967,162368,0.9544183582972015
ossu/computer-science,https://github.com/ossu/computer-science,148301,2014-05-04 00:18:39,3405,240,none,2023-08-30 18:02:32,0,0,596,613,0.9722675367047309
Significant-Gravitas/Auto-GPT,https://github.com/Significant-Gravitas/Auto-GPT,147574,2023-03-16 09:21:07,167,954,Python,2023-08-30 18:14:24,0,18,1319,1938,0.6805985552115583
